customer_id,gender,age,senior_citizen,marital_status,dependents,city,state,signup_date,tenure_months,contract_type,subscription_plan,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,discount_percentage,lifetime_value,phone_service,multiple_lines,streaming_service,online_security,online_backup,tech_support,device_protection,support_tickets,complaints,avg_monthly_usage_gb,satisfaction_score,last_login_days_ago,churn,churn_date,churn_reason,competitor_offer,cancellation_channel,age_group,tenure_group,monthly_charge_group,support_ticket_group,satisfaction_group,customer_status,estimated_annual_revenue,estimated_revenue_at_risk
TC-10029,Male,44,0,Single,No,Seattle,WA,2023-09-21,9,Month-to-month,Standard,DSL,Mailed check,No,78.64,699.9,10,629.91,Yes,Yes,Yes,No,No,No,No,0,2,311.1,2,50,No,,None,Yes,None,35–44,7–12 Months,Medium,0,Low,Active,943.68,0.0
TC-10030,Female,81,1,Married,No,Phoenix,AZ,2018-06-29,72,One year,Premium,DSL,Bank transfer,No,78.97,5677.15,15,4825.58,Yes,No,Yes,No,No,No,Yes,0,0,214.7,3,59,No,,None,No,None,65+,49+ Months,Medium,0,Low,Active,947.64,0.0
TC-10031,Male,19,0,Single,No,Atlanta,GA,2024-05-29,1,Month-to-month,Standard,Fiber optic,Electronic check,Yes,74.53,78.89,15,67.06,Yes,No,No,No,No,No,Yes,3,0,116.6,2,15,No,,None,No,None,Under 25,0–6 Months,Medium,3–5,Low,Active,894.36,0.0
TC-10032,Male,43,0,Married,No,Chicago,IL,2018-09-19,69,Month-to-month,Basic,DSL,Mailed check,Yes,40.93,2855.79,0,2855.79,No,No phone service,No,No,No,No,No,3,4,54.9,6,7,No,,None,Yes,None,35–44,49+ Months,Medium,3–5,Medium,Active,491.16,0.0
TC-10033,Female,47,0,Single,No,Austin,TX,2024-01-27,5,One year,Premium,DSL,Bank transfer,Yes,100.46,519.55,0,519.55,Yes,Yes,Yes,No,No,No,No,3,1,243.4,2,8,No,,None,No,None,45–54,0–6 Months,High,3–5,Low,Active,1205.52,0.0
TC-10034,Female,25,0,Married,No,Austin,TX,2022-10-20,20,Two year,Basic,Fiber optic,Electronic check,Yes,37.04,721.15,0,721.15,Yes,No,No,No,No,No,Yes,5,0,394.8,8,37,No,,None,No,None,25–34,13–24 Months,Low,3–5,High,Active,444.48,0.0
TC-10035,Female,55,0,Single,No,Austin,TX,2023-11-19,7,Month-to-month,Premium,DSL,Bank transfer,No,103.35,742.7,10,668.43,Yes,No,Yes,Yes,Yes,Yes,No,3,0,239.1,2,57,Yes,2024-06-16,Poor tech support,Yes,Email,55–64,7–12 Months,High,3–5,Low,Churned,1240.2,1240.2
TC-10036,Male,78,1,Married,Yes,Los Angeles,CA,2021-02-10,40,Two year,Basic,Fiber optic,Mailed check,Yes,42.68,1694.69,0,1694.69,No,No phone service,Yes,Yes,No,No,Yes,2,1,172.9,6,19,No,,None,No,None,65+,25–48 Months,Medium,1–2,Medium,Active,512.16,0.0
TC-10037,Male,82,1,Married,No,Austin,TX,2022-02-21,28,Month-to-month,Standard,Fiber optic,Credit card,No,78.93,2210.04,0,2210.04,Yes,Yes,No,No,Yes,No,Yes,0,1,168.1,4,24,No,,None,No,None,65+,25–48 Months,Medium,0,Low,Active,947.16,0.0
TC-10038,Female,84,1,Single,Yes,Denver,CO,2023-12-30,6,Month-to-month,Standard,DSL,Mailed check,Yes,73.35,433.1,0,433.1,Yes,Yes,No,No,No,No,Yes,1,0,220.7,7,12,No,,None,Yes,None,65+,0–6 Months,Medium,1–2,Medium,Active,880.2,0.0
TC-10039,Male,63,0,Married,Yes,Atlanta,GA,2022-11-16,19,Two year,Basic,DSL,Mailed check,No,37.96,703.62,5,668.44,No,No phone service,Yes,No,Yes,No,Yes,3,1,278.8,1,39,No,,None,No,None,55–64,13–24 Months,Low,3–5,Low,Active,455.52,0.0
TC-10040,Male,60,0,Single,No,Chicago,IL,2019-09-14,57,Month-to-month,Premium,DSL,Electronic check,No,97.85,5596.74,0,5596.74,Yes,No,No,Yes,No,No,No,1,3,205.5,6,58,No,,None,No,None,55–64,49+ Months,High,1–2,Medium,Active,1174.2,0.0
TC-10041,Female,76,1,Single,No,Atlanta,GA,2023-12-28,6,Month-to-month,Standard,Fiber optic,Electronic check,Yes,71.62,421.02,0,421.02,Yes,No,No,Yes,No,No,No,3,3,210.9,6,36,Yes,2024-06-25,Competitor offered higher speeds,No,Customer Service Call,65+,0–6 Months,Medium,3–5,Medium,Churned,859.44,859.44
TC-10042,Male,63,0,Single,No,Denver,CO,2021-02-17,40,Month-to-month,Standard,DSL,Bank transfer,Yes,77.43,3065.73,0,3065.73,Yes,No,Yes,Yes,No,No,No,1,1,253.8,4,52,No,,None,No,None,55–64,25–48 Months,Medium,1–2,Low,Active,929.16,0.0
TC-10043,Male,52,0,Married,No,Atlanta,GA,2021-05-30,37,Two year,Basic,DSL,Credit card,No,26.94,984.07,15,836.46,Yes,Yes,Yes,Yes,No,No,No,3,0,199.5,3,13,No,,None,No,None,45–54,25–48 Months,Low,3–5,Low,Active,323.28,0.0
TC-10044,Male,56,0,Single,No,Seattle,WA,2023-07-15,11,Month-to-month,Basic,Fiber optic,Electronic check,No,45.11,499.17,10,449.25,Yes,Yes,Yes,No,Yes,No,No,4,1,117.1,1,14,Yes,2024-06-09,Poor tech support,No,Customer Service Call,55–64,7–12 Months,Medium,3–5,Low,Churned,541.32,541.32
TC-10045,Female,68,1,Married,No,Los Angeles,CA,2024-05-22,1,One year,Standard,Fiber optic,Electronic check,Yes,71.48,45.68,10,41.11,Yes,Yes,No,No,No,No,No,2,1,140.6,2,44,Yes,2024-06-21,Service dissatisfaction,No,Customer Service Call,65+,0–6 Months,Medium,1–2,Low,Churned,857.76,857.76
TC-10046,Male,21,0,Married,No,New York,NY,2024-02-10,4,One year,Standard,Fiber optic,Credit card,Yes,60.61,246.49,0,246.49,Yes,No,Yes,No,Yes,No,No,3,1,297.0,4,42,No,,None,No,None,Under 25,0–6 Months,Medium,3–5,Low,Active,727.32,0.0
TC-10047,Female,68,1,Single,No,New York,NY,2023-03-13,15,Month-to-month,Basic,DSL,Bank transfer,No,42.27,620.72,0,620.72,Yes,Yes,No,No,No,No,No,3,0,306.7,4,57,Yes,2024-06-05,Lack of features,No,Email,65+,13–24 Months,Medium,3–5,Low,Churned,507.24,507.24
TC-10048,Female,22,0,Single,Yes,Dallas,TX,2023-03-21,15,Month-to-month,Premium,DSL,Electronic check,No,99.04,1502.34,15,1276.99,Yes,No,Yes,No,No,Yes,Yes,1,0,323.2,9,12,No,,None,No,None,Under 25,13–24 Months,High,1–2,High,Active,1188.48,0.0
TC-10049,Male,72,1,Married,No,Phoenix,AZ,2024-04-13,2,Month-to-month,Basic,DSL,Electronic check,Yes,46.14,99.11,15,84.24,No,No phone service,No,Yes,Yes,No,Yes,1,1,191.5,2,48,Yes,2024-06-12,Competitor offered higher speeds,Yes,Customer Service Call,65+,0–6 Months,Medium,1–2,Low,Churned,553.68,553.68
TC-10050,Female,37,0,Single,Yes,Seattle,WA,2023-10-25,8,Two year,Premium,DSL,Credit card,No,108.26,867.28,5,823.92,Yes,Yes,Yes,No,No,No,No,3,0,380.6,1,24,Yes,2024-06-21,Service dissatisfaction,Yes,Email,35–44,7–12 Months,High,3–5,Low,Churned,1299.12,1299.12
TC-10051,Female,41,0,Single,No,Phoenix,AZ,2023-07-30,11,Month-to-month,Premium,DSL,Bank transfer,No,94.02,1010.98,10,909.88,Yes,No,No,Yes,No,No,No,1,0,160.3,2,58,No,,None,No,None,35–44,7–12 Months,High,1–2,Low,Active,1128.24,0.0
TC-10052,Male,53,0,Married,No,Austin,TX,2021-02-28,40,One year,Premium,DSL,Bank transfer,Yes,99.14,3946.26,0,3946.26,No,No phone service,No,No,Yes,No,No,3,2,500.7,3,4,No,,None,No,None,45–54,25–48 Months,High,3–5,Low,Active,1189.68,0.0
TC-10053,Female,51,0,Married,No,Austin,TX,2019-12-24,54,Two year,Basic,DSL,Bank transfer,Yes,22.64,1213.88,10,1092.49,Yes,Yes,Yes,Yes,No,Yes,No,6,1,254.7,6,34,No,,None,No,None,45–54,49+ Months,Low,6+,Medium,Active,271.68,0.0
TC-10054,Female,71,1,Single,Yes,New York,NY,2022-08-22,22,Two year,Premium,DSL,Credit card,Yes,98.4,2161.37,0,2161.37,Yes,No,No,No,No,No,No,6,2,203.5,4,37,Yes,2024-06-12,Price too high,No,Online Portal,65+,13–24 Months,High,6+,Low,Churned,1180.8,1180.8
TC-10055,Male,51,0,Married,No,Atlanta,GA,2023-11-28,7,Month-to-month,Basic,DSL,Credit card,Yes,39.42,298.87,0,298.87,Yes,Yes,No,No,Yes,No,No,0,0,140.3,5,36,Yes,2024-06-25,Customer moved,No,Customer Service Call,45–54,7–12 Months,Low,0,Medium,Churned,473.04,473.04
TC-10056,Male,34,0,Single,No,Austin,TX,2022-03-25,27,Two year,Standard,Fiber optic,Mailed check,Yes,70.83,1916.85,20,1533.48,Yes,Yes,Yes,No,Yes,No,No,1,2,343.7,3,51,Yes,2024-06-12,Service dissatisfaction,No,Customer Service Call,25–34,25–48 Months,Medium,1–2,Low,Churned,849.96,849.96
TC-10057,Male,22,0,Married,Yes,Phoenix,AZ,2018-09-28,69,Month-to-month,Premium,Fiber optic,Credit card,Yes,95.39,6576.16,15,5589.74,Yes,Yes,Yes,No,No,No,No,1,0,139.4,7,6,No,,None,Yes,None,Under 25,49+ Months,High,1–2,Medium,Active,1144.68,0.0
TC-10058,Male,35,0,Married,No,Chicago,IL,2024-04-19,2,One year,Standard,DSL,Mailed check,Yes,70.11,162.35,10,146.12,No,No phone service,Yes,No,No,No,No,1,0,307.6,1,41,Yes,2024-06-18,Service dissatisfaction,No,Online Portal,35–44,0–6 Months,Medium,1–2,Low,Churned,841.32,841.32
TC-10059,Male,72,1,Single,No,Seattle,WA,2023-11-22,7,Month-to-month,Standard,Fiber optic,Electronic check,Yes,59.84,417.53,0,417.53,Yes,Yes,Yes,No,No,No,No,1,0,75.3,4,11,No,,None,Yes,None,65+,7–12 Months,Medium,1–2,Low,Active,718.08,0.0
TC-10060,Male,70,1,Married,No,Los Angeles,CA,2022-12-17,18,Month-to-month,Basic,DSL,Electronic check,Yes,50.76,920.2,0,920.2,Yes,No,Yes,No,No,No,No,1,0,363.3,4,34,No,,None,No,None,65+,13–24 Months,Medium,1–2,Low,Active,609.12,0.0
TC-10061,Male,67,1,Married,Yes,Atlanta,GA,2023-08-11,10,Two year,Standard,Fiber optic,Bank transfer,Yes,68.85,711.81,5,676.22,No,No phone service,Yes,No,No,No,Yes,4,1,36.3,7,6,Yes,2024-06-06,Customer moved,No,Online Portal,65+,7–12 Months,Medium,3–5,Medium,Churned,826.2,826.2
TC-10062,Female,62,0,Married,No,Dallas,TX,2020-07-20,47,Month-to-month,Standard,DSL,Mailed check,Yes,67.87,3200.64,0,3200.64,Yes,No,Yes,No,No,No,No,2,0,187.3,7,27,No,,None,No,None,55–64,25–48 Months,Medium,1–2,Medium,Active,814.44,0.0
TC-10063,Male,30,0,Single,Yes,Dallas,TX,2023-11-25,7,Month-to-month,Premium,DSL,Electronic check,Yes,87.73,620.75,5,589.71,Yes,No,No,Yes,No,No,No,1,2,435.7,9,35,No,,None,No,None,25–34,7–12 Months,High,1–2,High,Active,1052.76,0.0
TC-10064,Male,33,0,Single,No,New York,NY,2020-03-21,51,One year,Basic,Fiber optic,Bank transfer,Yes,44.19,2262.41,0,2262.41,Yes,No,No,No,Yes,No,Yes,2,1,229.6,7,22,No,,None,No,None,25–34,49+ Months,Medium,1–2,Medium,Active,530.28,0.0
TC-10065,Female,30,0,Single,Yes,Atlanta,GA,2020-12-19,42,One year,Basic,DSL,Credit card,Yes,19.99,838.6,15,712.81,No,No phone service,No,Yes,No,No,Yes,2,0,145.6,8,17,No,,None,No,None,25–34,25–48 Months,Low,1–2,High,Active,239.88,0.0
TC-10066,Male,37,0,Single,No,New York,NY,2024-02-24,4,Month-to-month,Basic,DSL,Electronic check,No,36.57,146.9,20,117.52,Yes,Yes,No,No,No,Yes,No,1,1,276.9,6,58,Yes,2024-06-23,Competitor offered higher speeds,Yes,In-Person Store,35–44,0–6 Months,Low,1–2,Medium,Churned,438.84,438.84
TC-10067,Female,83,1,Married,No,New York,NY,2024-04-23,2,Two year,Basic,DSL,Mailed check,Yes,47.11,70.45,10,63.4,Yes,Yes,No,No,Yes,No,Yes,2,0,290.9,5,26,Yes,2024-06-22,Competitor offered higher speeds,Yes,In-Person Store,65+,0–6 Months,Medium,1–2,Medium,Churned,565.32,565.32
TC-10068,Male,64,0,Single,No,Seattle,WA,2022-03-12,27,One year,Basic,Fiber optic,Credit card,Yes,44.37,1187.36,0,1187.36,Yes,Yes,Yes,No,No,No,Yes,1,0,217.9,7,55,No,,None,No,None,55–64,25–48 Months,Medium,1–2,Medium,Active,532.44,0.0
TC-10069,Male,36,0,Married,Yes,Austin,TX,2023-06-29,12,Two year,Basic,Fiber optic,Credit card,Yes,34.14,408.95,0,408.95,Yes,No,No,Yes,Yes,No,Yes,4,0,241.2,5,51,Yes,2024-06-23,Competitor offered higher speeds,Yes,Email,35–44,7–12 Months,Low,3–5,Medium,Churned,409.68,409.68
TC-10070,Female,62,0,Single,Yes,Seattle,WA,2023-12-12,6,One year,Standard,Fiber optic,Electronic check,Yes,75.93,462.53,0,462.53,Yes,Yes,No,No,No,No,No,2,0,317.7,7,14,Yes,2024-06-09,Price too high,No,Customer Service Call,55–64,0–6 Months,Medium,1–2,Medium,Churned,911.16,911.16
TC-10071,Male,54,0,Single,Yes,Miami,FL,2019-07-12,59,Month-to-month,Basic,DSL,Bank transfer,No,43.79,2577.1,0,2577.1,Yes,No,No,No,Yes,No,No,3,2,370.5,4,36,Yes,2024-05-16,Service dissatisfaction,No,Email,45–54,49+ Months,Medium,3–5,Low,Churned,525.48,525.48
TC-10072,Male,71,1,Married,No,Phoenix,AZ,2024-04-26,2,Month-to-month,Standard,DSL,Bank transfer,Yes,65.96,167.76,10,150.98,Yes,No,Yes,No,No,No,No,1,0,201.1,7,57,No,,None,No,None,65+,0–6 Months,Medium,1–2,Medium,Active,791.52,0.0
TC-10073,Female,23,0,Single,Yes,Los Angeles,CA,2020-12-13,42,Month-to-month,Basic,DSL,Mailed check,Yes,39.98,1690.95,0,1690.95,Yes,Yes,Yes,No,No,No,Yes,4,2,28.1,5,32,Yes,2024-05-26,Lack of features,No,In-Person Store,Under 25,25–48 Months,Low,3–5,Medium,Churned,479.76,479.76
TC-10074,Female,31,0,Married,Yes,Los Angeles,CA,2022-11-23,19,Month-to-month,Premium,DSL,Electronic check,Yes,76.5,1457.21,0,1457.21,Yes,No,Yes,Yes,No,Yes,No,1,0,348.4,3,9,No,,None,No,None,25–34,13–24 Months,Medium,1–2,Low,Active,918.0,0.0
TC-10075,Female,21,0,Single,Yes,Miami,FL,2024-03-26,3,Month-to-month,Basic,Fiber optic,Bank transfer,Yes,44.06,110.5,0,110.5,Yes,No,Yes,No,Yes,No,Yes,2,2,151.1,7,21,Yes,2024-06-24,Customer moved,Yes,Email,Under 25,0–6 Months,Medium,1–2,Medium,Churned,528.72,528.72
TC-10076,Female,72,1,Single,No,Seattle,WA,2023-07-18,11,Two year,Basic,Fiber optic,Mailed check,No,47.7,523.84,0,523.84,Yes,Yes,Yes,No,No,No,No,2,0,82.6,4,3,No,,None,No,None,65+,7–12 Months,Medium,1–2,Low,Active,572.4,0.0
TC-10077,Male,51,0,Single,No,Atlanta,GA,2022-12-19,18,Two year,Premium,DSL,Electronic check,Yes,98.3,1777.06,0,1777.06,Yes,No,No,No,No,No,No,2,0,81.2,2,31,No,,None,No,None,45–54,13–24 Months,High,1–2,Low,Active,1179.6,0.0
TC-10078,Male,44,0,Single,No,Phoenix,AZ,2024-02-22,4,Month-to-month,Standard,Fiber optic,Credit card,Yes,69.97,278.48,0,278.48,Yes,No,No,No,No,Yes,Yes,0,0,78.5,9,17,Yes,2024-06-21,Competitor offered higher speeds,Yes,In-Person Store,35–44,0–6 Months,Medium,0,High,Churned,839.64,839.64
TC-10079,Male,24,0,Married,No,Chicago,IL,2024-03-11,3,Month-to-month,Premium,DSL,Electronic check,No,87.11,259.33,20,207.46,Yes,Yes,No,No,No,No,No,2,2,308.4,7,1,Yes,2024-06-09,Competitor offered higher speeds,Yes,Online Portal,Under 25,0–6 Months,High,1–2,Medium,Churned,1045.32,1045.32
TC-10080,Female,20,0,Single,Yes,Denver,CO,2023-11-13,7,Month-to-month,Basic,Fiber optic,Electronic check,Yes,38.87,269.73,5,256.24,No,No phone service,Yes,Yes,Yes,No,No,2,1,174.6,2,5,Yes,2024-06-10,Competitor offered higher speeds,Yes,Customer Service Call,Under 25,7–12 Months,Low,1–2,Low,Churned,466.44,466.44
TC-10081,Female,64,0,Married,No,Austin,TX,2022-11-23,19,Month-to-month,Standard,DSL,Electronic check,Yes,59.67,1123.18,5,1067.02,Yes,Yes,No,No,No,No,No,1,1,325.9,1,26,No,,None,No,None,55–64,13–24 Months,Medium,1–2,Low,Active,716.04,0.0
TC-10082,Male,19,0,Single,No,Atlanta,GA,2021-07-21,35,Two year,Standard,Fiber optic,Electronic check,Yes,75.39,2619.9,10,2357.91,Yes,Yes,No,Yes,No,No,No,1,0,224.4,8,42,No,,None,No,None,Under 25,25–48 Months,Medium,1–2,High,Active,904.68,0.0
TC-10083,Male,42,0,Married,No,Phoenix,AZ,2018-07-01,72,One year,Standard,Fiber optic,Credit card,Yes,76.03,5506.93,5,5231.58,Yes,No,No,No,Yes,No,Yes,1,1,282.4,3,40,No,,None,No,None,35–44,49+ Months,Medium,1–2,Low,Active,912.36,0.0
TC-10084,Male,77,1,Married,No,Austin,TX,2024-03-24,3,Two year,Standard,Fiber optic,Electronic check,No,73.43,205.25,0,205.25,Yes,Yes,Yes,Yes,No,No,No,3,0,405.4,7,48,No,,None,No,None,65+,0–6 Months,Medium,3–5,Medium,Active,881.16,0.0
TC-10085,Male,41,0,Married,No,New York,NY,2024-05-30,1,One year,Standard,DSL,Bank transfer,No,76.98,69.97,5,66.47,Yes,No,Yes,No,No,No,Yes,2,3,370.1,5,39,No,,None,No,None,35–44,0–6 Months,Medium,1–2,Medium,Active,923.76,0.0
