customer_id,gender,age,senior_citizen,marital_status,dependents,city,state,signup_date,tenure_months,contract_type,subscription_plan,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,discount_percentage,lifetime_value,phone_service,multiple_lines,streaming_service,online_security,online_backup,tech_support,device_protection,support_tickets,complaints,avg_monthly_usage_gb,satisfaction_score,last_login_days_ago,churn,churn_date,churn_reason,competitor_offer,cancellation_channel
TC-10028,Female,39,0,Married,No,Seattle,WA,2022-12-25,18,Month-to-month,Standard,DSL,Credit card,Yes,68.44,1229.42,10,1174.48,Yes,No,No,No,Yes,No,No,1,1,97.5,9.0,38,No,,,Yes,
TC-10029,Male,44,0,Single,No,Seattle,WA,2023-09-21,9,Month-to-month,Standard,DSL,Mailed check,No,78.64,699.9,10,705.69,Yes,Yes,Yes,No,No,No,No,0,2,311.1,2.0,50,No,,,Yes,
TC-10030,Female,81,1,Married,No,Phoenix,AZ,2018-06-29,72,One year,Premium,None,Bank transfer,No,78.97,5677.15,15,4853.18,Yes,No,Yes,No,No,No,Yes,0,0,214.7,3.0,59,No,,,No,
TC-10031,Male,19,0,Single,No,Atlanta,GA,2024-05-29,1,Month-to-month,Standard,Fiber optic,electronic check,Yes,74.53,78.89,15,113.65,Yes,No,No,No,No,No,Yes,3,0,116.6,2.0,15,No,,,No,
TC-10032,Male,43,0,Married,No,Chicago,IL,2018-09-19,69,Month-to-month,Basic,DSL,Mailed check,Yes,40.93,2855.79,0,2886.11,No,No phone service,No,No,No,No,No,3,4,54.9,6.0,7,No,,,Yes,
TC-10033,Female ,47,0,Single,No,Austin,TX,2024-01-27,5,One year,Premium,DSL,Bank transfer,Yes,100.46,519.55,0,557.09,Yes,Yes,Yes,No,No,No,No,3,1,243.4,2.0,8,No,,,No,
TC-10034,Female ,25,0,Married,No,Austin,TX,2022-10-20,20,Two year,Basic,Fiber optic,Electronic check,Yes,37.04,721.15,0,770.21,Yes,No,No,No,No,No,Yes,5,0,394.8,8.0,37,No,,,No,
TC-10035,Female,55,0,Single,No,Austin,TX,2023-11-19,7,Month-to-month,Premium,DSL,Bank transfer,No,103.35,742.7,10,736.99,Yes,No,Yes,Yes,Yes,Yes,No,3,0,239.1,2.0,57,Yes,2024-06-16,Poor tech support,Yes,Email
TC-10036,Male,78,1,Married,Yes,Los Angeles,CA,2021-02-10,40,Two year,Basic,Fiber optic,Mailed check,Yes,42.68,1694.69,0,1756.98,No,No phone service,Yes,Yes,No,No,Yes,2,1,172.9,6.0,19,No,,,No,
TC-10037,Male,82,1,Married,No,Austin,TX,2022-02-21,28,Month-to-month,Standard,Fiber optic,Credit card,No,78.93,,0,2253.12,Yes,Yes,No,No,Yes,No,Yes,0,1,168.1,4.0,24,No,,,No,
TC-10038,Female,84,1,Single,Yes,Denver,CO,2023-12-30,6,Month-to-month,Standard,DSL,Mailed check,Yes,73.35,433.1,0,527.27,Yes,Yes,No,No,No,No,Yes,1,0,220.7,7.0,12,No,,,Yes,
TC-10039,Male,63,0,Married,Yes,Atlanta,GA,2022-11-16,19,Two year,Basic,DSL,Mailed check,No,37.96,703.62,5,692.45,No,No phone service,Yes,No,Yes,No,Yes,3,1,278.8,1.0,39,No,,,No,
TC-10040,Male,60,0,Single,No,Chicago,IL,2019-09-14,57,Month-to-month,Premium,DSL,electronic check,No,97.85,5596.74,0,5635.38,Yes,No,No,Yes,No,No,No,1,3,205.5,6.0,58,No,,,No,
TC-10041,Female,76,1,Single,No,Atlanta,GA,2023-12-28,6, Month-to-month ,Standard,Fiber optic,Electronic check,Yes,71.62,421.02,0,473.13,Yes,No,No,Yes,No,No,No,3,3,210.9,6.0,36,Yes,2024-06-25,Competitor offered higher speeds,No,Customer Service Call
TC-10042,Male,63,0,Single,No,Denver,CO,2021-02-17,40,Month-to-month,Standard,DSL,Bank transfer,Yes,77.43,3065.73,0,3109.5,Yes,No,Yes,Yes,No,No,No,1,1,253.8,4.0,52,No,,,No,
TC-10043,male,52,0,Married,No,Atlanta,GA,2021-05-30,37,Two year,Basic,None,Credit card,No,26.94,984.07,15,882.33,Yes,Yes,Yes,Yes,No,No,No,3,0,199.5,3.0,13,No,,,No,
TC-10044,Male,56,0,Single,No,Seattle,WA,2023-07-15,11,Month-to-month,Basic,Fiber optic,Electronic check,No,45.11,499.17,10,516.55,Yes,Yes,Yes,No,Yes,No,No,4,1,117.1,1.0,14,Yes,2024-06-09,Poor tech support,No,Customer Service Call
TC-10045,Female,68,1,Married,No,Los Angeles,CA,2024-05-22,1,One year,Standard,Fiber optic,Electronic check,Yes,71.48,45.68,10,73.44,Yes,Yes,No,No,No,No,No,2,1,140.6,2.0,44,Yes,2024-06-21,Service dissatisfaction,No,Customer Service Call
TC-10046,Male,21,0,Married,No,New York,NY,2024-02-10,4,one year,Standard,Fiber optic,Credit card,Yes,60.61,246.49,0,332.0,Yes,No,Yes,No,Yes,No,No,3,1,297.0,4.0,42,No,,,No,
TC-10047,Female,68,1,Single,No,New York,NY,2023-03-13,15,Month-to-month,Basic,DSL,Bank transfer,No,42.27,620.72,0,652.46,Yes,Yes,No,No,No,No,No,3,0,306.7,4.0,57,Yes,2024-06-05,Lack of features,No,Email
TC-10048,Female,22,0,Single,Yes,Dallas,TX,2023-03-21,15,Month-to-month,Premium,dsl,Electronic check,No,99.04,1502.34,15,1312.19,Yes,No,Yes,No,No,Yes,Yes,1,0,323.2,9.0,12,No,,,No,
TC-10049,Male,72,1,Married,No,Phoenix,AZ,2024-04-13,2,Month-to-month,Basic,dsl,Electronic check,Yes,46.14,99.11,15,157.0,No,No phone service,No,Yes,Yes,No,Yes,1,1,191.5,2.0,48,Yes,2024-06-12,Competitor offered higher speeds,Yes,Customer Service Call
TC-10050,Female ,37,0,Single,Yes,Seattle,WA,2023-10-25,8,Two year,Premium,DSL,Credit card,No,108.26,867.28,5,898.21,Yes,Yes,Yes,No,No,No,No,3,0,380.6,1.0,24,Yes,2024-06-21,Service dissatisfaction,Yes,Email
TC-10051,Female,41,0,Single,No,Phoenix,AZ,2023-07-30,11,Month-to-month,Premium,None,Bank transfer,No,94.02,1010.98,10,953.4,Yes,No,No,Yes,No,No,No,1,0,160.3,2.0,58,No,,,No,
TC-10052,male,53,0,Married,No,Austin,TX,2021-02-28,40,One year,Premium,DSL,Bank transfer,Yes,99.14,3946.26,0,4021.14,No,No phone service,No,No,Yes,No,No,3,2,500.7,3.0,4,No,,,No,
TC-10053,Female,51,0,Married,No,Austin,TX,2019-12-24,54,Two year,Basic,None,Bank transfer,Yes,22.64,1213.88,10,1124.35,Yes,Yes,Yes,Yes,No,Yes,No,6,1,254.7,6.0,34,No,,,No,
TC-10054,Female,71,1,Single,Yes,New York,NY,2022-08-22,22,Two year,Premium,DSL,Credit card,Yes,98.4,2161.37,0,2173.21,Yes,No,No,No,No,No,No,6,2,203.5,4.0,37,Yes,2024-06-12,Price too high,No,Online Portal
TC-10055,male,51,0,Married,No,Atlanta,GA,2023-11-28,7,Month-to-month,Basic,DSL,Credit card,Yes,39.42,298.87,0,368.69,Yes,Yes,No,No,Yes,No,No,0,0,140.3,5.0,36,Yes,2024-06-25,Customer moved,No,Customer Service Call
TC-10056,Male,34,0,Single,No,Austin,TX,2022-03-25,27,Two year,Standard,Fiber optic,Mailed check,Yes,70.83,1916.85,20,1553.23,Yes,Yes,Yes,No,Yes,No,No,1,2,343.7,3.0,51,Yes,2024-06-12,Service dissatisfaction,No,Customer Service Call
TC-10057,Male,22,0,Married,Yes,Phoenix,AZ,2018-09-28,69,Month-to-month,Premium,Fiber optic,Credit card,Yes,95.39,6576.16,15,5639.45,Yes,Yes,Yes,No,No,No,No,1,0,139.4,7.0,6,No,,,Yes,
TC-10058,Male,35,0,MARRIED,No,Chicago,IL,2024-04-19,2,One year,Standard,DSL,Mailed check,Yes,70.11,162.35,10,234.2,No,No phone service,Yes,No,No,No,No,1,0,307.6,1.0,41,Yes,2024-06-18,Service dissatisfaction,No,Online Portal
TC-10059,Male,72,1,Single,No,Seattle,WA,2023-11-22,7,Month-to-month,Standard,Fiber optic,Electronic check,Yes,59.84,417.53,0,448.61,Yes,Yes,Yes,No,No,No,No,1,0,75.3,4.0,11,No,,,Yes,
TC-10060,Male,70,1,Married,No,Los Angeles,CA,2022-12-17,18,Month-to-month,Basic,DSL,Electronic check,Yes,50.76,920.2,0,944.31,Yes,No,Yes,No,No,No,No,1,0,363.3,4.0,34,No,,,No,
TC-10061,Male,67,1,Married,Yes,Atlanta,GA,2023-08-11,10,Two year,Standard,Fiber optic,Bank transfer,Yes,68.85,711.81,5,707.16,No,No phone service,Yes,No,No,No,Yes,4,1,36.3,7.0,6,Yes,2024-06-06,Customer moved,No,Online Portal
TC-10062,Female,62,0,Married,No,Dallas,TX,2020-07-20,47,Month-to-month,Standard,DSL,Mailed check,Yes,67.87,3200.64,0,3226.07,Yes,No,Yes,No,No,No,No,2,0,187.3,7.0,27,No,,,No,
TC-10063,Male,30,0,Single,Yes,Dallas,TX,2023-11-25,7,Month-to-month,Premium,None,Electronic check,Yes,87.73,620.75,5,617.59,Yes,No,No,Yes,No,No,No,1,2,435.7,9.0,35,No,,,No,
TC-10064,Male,33,0,Single,No,New York,NY,2020-03-21,51,One year,Basic,Fiber optic,Bank transfer,Yes,44.19,2262.41,0,2281.64,Yes,No,No,No,Yes,No,Yes,2,1,229.6,7.0,22,No,,,No,
TC-10065,Female,30,0,Single,Yes,Atlanta,GA,2020-12-19,42,One year,Basic,None,Credit card,Yes,19.99,838.6,15,782.23,No,No phone service,No,Yes,No,No,Yes,2,0,145.6,8.0,17,No,,,No,
TC-10066,Male,37,0,Single,No,New York,NY,2024-02-24,4,Month-to-month,Basic,DSL,Electronic check,No,36.57,146.9,20,133.88,Yes,Yes,No,No,No,Yes,No,1,1,276.9,6.0,58,Yes,2024-06-23,Competitor offered higher speeds,Yes,In-Person Store
TC-10067,Female,83,1,Married,No,New York,NY,2024-04-23,2,Two year,Basic,DSL,Mailed check,Yes,47.11,70.45,10,126.43,Yes,Yes,No,No,Yes,No,Yes,2,0,290.9,5.0,26,Yes,2024-06-22,Competitor offered higher speeds,Yes,In-Person Store
TC-10068,Male,64,0,Single,No,Seattle,WA,2022-03-12,27,One year,Basic,Fiber optic,Credit card,Yes,44.37,1187.36,0,1204.36,Yes,Yes,Yes,No,No,No,Yes,1,0,217.9,7.0,55,No,,,No,
TC-10069,MALE,36,0,Married,Yes,Austin,TX,2023-06-29,12,Two year,Basic,Fiber optic,Credit card,Yes,34.14,408.95,0,462.0,Yes,No,No,Yes,Yes,No,Yes,4,0,241.2,5.0,51,Yes,2024-06-23,Competitor offered higher speeds,Yes,Email
TC-10070,Female,62,0,Single,Yes,Seattle,WA,2023-12-12,6,One year,Standard,Fiber optic,Electronic check,Yes,75.93,462.53,0,530.29,Yes,Yes,No,No,No,No,No,2,0,317.7,7.0,14,Yes,2024-06-09,Price too high,No,Customer Service Call
TC-10071,Male,54,0,Single,Yes,Miami,FL,2019-07-12,59,Month-to-month,Basic,DSL,Bank transfer,No,43.79,2577.1,0,2626.39,Yes,No,No,No,Yes,No,No,3,2,370.5,4.0,36,Yes,2024-05-16,Service dissatisfaction,No,Email
TC-10072,Male,71,1,Married,No,Phoenix,AZ,2024-04-26,2,Month-to-month,Standard,DSL,Bank transfer,Yes,65.96,167.76,10,176.72,Yes,No,Yes,No,No,No,No,1,0,201.1,7.0,57,No,,,No,
TC-10073,Female,23,0,Single,Yes,Los Angeles,CA,2020-12-13,42,Month-to-month,Basic,DSL,Mailed check,Yes,39.98,1690.95,0,1740.03,Yes,Yes,Yes,No,No,No,Yes,4,2,28.1,5.0,32,Yes,2024-05-26,Lack of features,No,In-Person Store
TC-10074,Female,31,0,Married,Yes,Los Angeles,CA,2022-11-23,19,Month-to-month,Premium,None,Electronic check,Yes,76.5,1457.21,0,1496.46,Yes,No,Yes,Yes,No,Yes,No,1,0,348.4,3.0,9,No,,,No,
TC-10075,Female,21,0,Single,Yes,Miami,FL,2024-03-26,3,Month-to-month,Basic,Fiber optic,Bank transfer,Yes,44.06,110.5,0,156.74,Yes,No,Yes,No,Yes,No,Yes,2,2,151.1,7.0,21,Yes,2024-06-24,Customer moved,Yes,Email
TC-10076,Female,72,1,Single,No,Seattle,WA,2023-07-18,11,Two year,Basic,Fiber optic,Mailed check,No,47.7,523.84,0,548.06,Yes,Yes,Yes,No,No,No,No,2,0,82.6,4.0,3,No,,,No,
TC-10077,Male,51,0,Single,No,Atlanta,GA,2022-12-19,18,Two year,Premium,DSL,Electronic check,Yes,98.3,1777.06,0,1834.24,Yes,No,No,No,No,No,No,2,0,81.2,2.0,31,No,,,No,
TC-10078,Male,44,0,Single,No,Phoenix,AZ,2024-02-22,4,Month-to-month,Standard,Fiber optic,Credit card,Yes,69.97,278.48,0,322.92,Yes,No,No,No,No,Yes,Yes,0,0,78.5,9.0,17,Yes,2024-06-21,Competitor offered higher speeds,Yes,In-Person Store
TC-10079,Male,24,0,Married,No,Chicago,IL,2024-03-11,3,Month-to-month,Premium,None,Electronic check,No,87.11,259.33,20,272.7,Yes,Yes,No,No,No,No,No,2,2,308.4,7.0,1,Yes,2024-06-09,Competitor offered higher speeds,Yes,Online Portal
TC-10080,Female,20,0,Single,Yes,Denver,CO,2023-11-13,7,Month-to-month,Basic,Fiber optic,Electronic check,Yes,38.87,269.73,5,326.96,No,No phone service,Yes,Yes,Yes,No,No,2,1,174.6,2.0,5,Yes,2024-06-10,Competitor offered higher speeds,Yes,Customer Service Call
TC-10081,Female,64,0,Married,No,Austin,TX,2022-11-23,19,Month-to-month,Standard,DSL,Electronic check,Yes,59.67,1123.18,5,1124.0,Yes,Yes,No,No,No,No,No,1,1,325.9,1.0,26,No,,,No,
TC-10082,Male,19,0,Single,No,Atlanta,GA,2021-07-21,35,Two year,Standard,Fiber optic,Electronic check,Yes,75.39,2619.9,10,2401.47,Yes,Yes,No,Yes,No,No,No,1,0,224.4,8.0,42,No,,,No,
TC-10083,Male,42,0,Married,No,Phoenix,AZ,2018-07-01,72,One year,Standard,Fiber optic,Credit card,Yes,76.03,5506.93,5,5266.2,Yes,No,No,No,Yes,No,Yes,1,1,282.4,3.0,40,No,,,No,
TC-10084,Male,77,1,Married,No,Austin,TX,2024-03-24,3,Two year,Standard,Fiber optic,Electronic check,No,73.43,205.25,0,237.8,Yes,Yes,Yes,Yes,No,No,No,3,0,405.4,7.0,48,No,,,No,
TC-10085,Male,41,0,Married,No,New York,NY,2024-05-30,1,One year,Standard,DSL,Bank transfer,No,76.98,69.97,5,123.11,Yes,No,Yes,No,No,No,Yes,2,3,370.1,5.0,39,No,,,No,
TC-10086,Female,32,0,Married,Yes,Atlanta,GA,2018-06-22,72,One year,Standard,DSL,Electronic check,Yes,69.34,4996.28,0,5056.64,Yes,No,Yes,No,No,No,No,2,1,491.8,5.0,24,No,,,Yes,
TC-10087,Female,31,0,MARRIED,Yes,Dallas,TX,2024-03-19,3,One year,Standard,Fiber optic,Electronic check,Yes,72.22,185.82,10,214.54,Yes,Yes,Yes,No,No,No,Yes,2,0,139.0,3.0,7,No,,,No,
TC-10088,Female,71,1,Married,Yes,Seattle,WA,2021-09-22,33,Month-to-month,Standard,Fiber optic,Mailed check,No,66.5,2217.8,5,2156.64,Yes,No,No,No,No,No,No,2,2,309.6,10.0,39,Yes,2024-06-08,Lack of features,No,In-Person Store
TC-10089,Female,23,0,Single,Yes,Phoenix,AZ,2021-07-29,35,Month-to-month,Standard,Fiber optic,Credit card,Yes,65.62,2314.25,15,1989.39,Yes,Yes,Yes,No,Yes,No,No,1,1,192.1,1.0,23,Yes,2024-06-13,Service dissatisfaction,No,Customer Service Call
TC-10090,Male,35,0, single ,Yes,Los Angeles,CA,2024-04-25,2,Two year,Standard,None,Credit card,Yes,48.49,74.43,10,119.85,Yes,No,No,No,No,Yes,Yes,0,0,107.2,7.0,47,No,,,No,
TC-10091,Female,37,0,MARRIED,Yes,Chicago,IL,2021-02-11,40,Month-to-month,Standard,None,Electronic check,Yes,56.72,2263.95,0,2304.73,Yes,Yes,No,No,Yes,Yes,Yes,0,0,73.1,3.0,42,No,,,Yes,
TC-10092,Female,79,1,Single,Yes,Austin,TX,2023-12-21,6,Month-to-month,Basic,DSL,Mailed check,Yes,40.44,256.98,10,304.48,Yes,Yes,No,No,Yes,No,No,1,1,127.4,3.0,8,Yes,2024-06-18,Service dissatisfaction,No,Online Portal
TC-10093,Female,57,0,Married,Yes,Los Angeles,CA,2021-05-26,37,One year,Standard,DSL,Mailed check,Yes,75.49,2792.79,0,2849.24,Yes,No,No,Yes,No,No,No,2,0,163.4,7.0,33,No,,,No,
TC-10094,Female,56,0,Married,Yes,Miami,FL,2023-09-11,9,Month-to-month,Premium,DSL,Electronic check,Yes,91.3,836.69,0,880.61,Yes,Yes,Yes,No,Yes,No,No,2,0,123.6,4.0,27,No,,,Yes,
TC-10095,Female,69,1,Married,Yes,Miami,FL,2021-09-15,33,One year,Standard,DSL,Mailed check,No,71.32,,15,2077.86,Yes,No,Yes,No,No,Yes,No,1,1,218.4,7.0,47,No,,,No,
TC-10096,Female,49,0,Married,No,Chicago,IL,2020-11-18,43,Month-to-month,Standard,dsl,Bank transfer,Yes,78.63,3368.65,0,3456.23,Yes,Yes,Yes,Yes,Yes,No,No,1,0,98.3,4.0,42,No,,,Yes,
TC-10097,Male,44,0,Married,No,Miami,FL,2024-05-11,1,month-to-month,Standard,DSL,Electronic check,No,70.59,77.6,0,145.04,Yes,No,Yes,No,No,No,Yes,2,0,139.1,4.0,10,No,,,No,
TC-10098,Male,69,1,Married,No,Seattle,WA,2023-01-16,17,Month-to-month,Standard,None,Bank transfer,Yes,59.5,993.44,20,833.36,No,No phone service,No,Yes,No,No,Yes,4,1,234.7,6.0,9,Yes,2024-06-09,Lack of features,No,Email
TC-10099,Male,80,1,Single,No,Miami,FL,2023-08-27,10,Month-to-month,Premium,DSL,Electronic check,Yes,111.72,1110.23,0,1170.44,Yes,No,No,Yes,No,Yes,No,0,1,339.0,3.0,31,No,,,No,
TC-10100,Male,80,1,Single,No,Seattle,WA,2020-10-23,44,Month-to-month,Basic,Fiber optic,Bank transfer,Yes,46.82,2061.12,10,1963.03,Yes,No,Yes,No,No,No,No,4,2,144.0,6.0,55,Yes,2024-06-04,Competitor offered higher speeds,Yes,In-Person Store
TC-10101,Female,34,0,Single,No,Miami,FL,2023-03-28,15,Month-to-month,Basic,DSL,Bank transfer,Yes,32.87,495.25,10,513.26,Yes,No,No,No,No,No,No,2,1,263.8,1.0,28,No,,,No,
TC-10102,Male,66,1,Single,Yes,Atlanta,GA,2023-07-25,11,One year,Premium,DSL,Bank transfer,Yes,98.44,,0,1117.57,Yes,No,Yes,No,No,No,Yes,2,0,169.0,2.0,35,No,,,Yes,
TC-10103,Female,40,0,Single,No,New York,NY,2024-03-14,3,one year,Standard,DSL,Credit card,Yes,71.8,224.34,0,299.2,No,No phone service,No,No,No,Yes,Yes,3,2,70.2,6.0,23,No,,,No,
TC-10104,male,30,0,Married,No,Chicago,IL,2023-11-13,7,One year,Standard,Fiber optic,Credit card,Yes,69.68,465.74,0,479.82,Yes,No,Yes,No,Yes,No,No,1,0,234.4,6.0,34,No,,,No,
TC-10105,Male,40,0,Single,No,Austin,TX,2018-06-24,72,Month-to-month,Standard,Fiber optic,Bank transfer,Yes,76.57,5499.82,0,5528.8,Yes,No,Yes,No,No,No,Yes,0,1,160.2,2.0,6,No,,,No,
TC-10106,Male,74,1,Married,Yes,Atlanta,GA,2020-08-13,46,Month-to-month,Standard,DSL,Mailed check,No,69.9,3231.48,20,2597.53,Yes,No,No,No,Yes,Yes,No,0,1,426.8,3.0,7,No,,,No,
TC-10107,Female,79,1,Married,No,Austin,TX,2023-10-18,8,Month-to-month,Standard,None,Electronic check,No,54.65,425.22,0,443.57,Yes,No,No,Yes,Yes,No,No,3,0,240.6,8.0,12,No,,,No,
TC-10108,Male,71,1,Married,Yes,Denver,CO,2022-07-14,23,One year,Standard,Fiber optic,Credit card,No,75.42,1738.73,15,1528.21,Yes,No,Yes,Yes,No,Yes,No,1,1,134.8,,54,No,,,No,
TC-10109,Male,37,0,Single,No,New York,NY,2018-06-20,72,Month-to-month,Standard,None,Bank transfer,No,47.96,3477.64,10,3152.3,Yes,Yes,No,Yes,Yes,No,No,0,0,138.8,1.0,59,Yes,2024-05-19,Poor tech support,No,Customer Service Call
